"","V1","V2"
"1",0.229066144253011,0.99388235702645
"2",0.47505086757883,0.891024124706746
"3",0.136379766001482,0.471700039706775
"4",0.00619943648052868,0.692815996837453
"5",0.117758384338231,0.236710153796594
"6",0.537122214838746,0.567813837871654
"7",0.287027826212579,0.0737880536180455
"8",0.435066071237088,0.368212602450512
"9",0.334291638719151,0.683256147385691
"10",0.591831116544199,0.0440388194547268
"11",0.795712623672443,0.513246333677671
"12",0.697185111348517,0.861662089911988
"13",0.962077508927905,0.379817150373128
"14",0.822001693828497,0.130977870125207
"15",0.683014398469822,0.306340582785197
"16",0.895956607593689,0.804407907504356
