,x1,x2,x3,x4,x5,x6,x7,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39
0,0.17506027,0.02052822,3.8236246,1.2491837,0.6743808,0.4578783,2.3305545,8.10116,8.398612,8.680564,8.983848,9.268739,9.540373,9.813363,10.08017,10.335942,10.576681,10.797718,11.007737,11.179618,11.326221,11.45648,11.496125,11.474773,11.417578,11.3151865,11.238522,11.11776,10.854106,10.662062,10.344934,10.080749,9.748017,9.403769,9.021729,8.619703,8.18126,7.7571583,7.3016586,6.8168836,6.358254,5.83742,5.364834,4.853459,4.3242874,3.7981102,3.3120146
1,0.24720414,0.02378007,3.8070438,0.741119,0.6568918,0.4406704,2.2492363,9.946207,10.109417,10.294836,10.46174,10.616695,10.794414,10.950935,11.11599,11.262193,11.404857,11.535525,11.657708,11.730875,11.80216,11.858907,11.846618,11.7845335,11.698732,11.528461,11.3747835,11.190312,10.914609,10.604905,10.293605,9.934102,9.501892,9.11496,8.618928,8.147791,7.6092434,7.095523,6.5341077,5.9628887,5.386752,4.8116536,4.2011266,3.5622625,2.9578886,2.324677,1.6922501
2,0.13537602,0.0218471,2.606946,1.0938394,0.7692234,0.7981544,3.0031374,7.775326,8.046071,8.280967,8.545189,8.791567,9.022414,9.263712,9.480896,9.69018,9.876428,10.035846,10.168361,10.270044,10.33325,10.337737,10.261616,10.11874,9.936919,9.735043,9.592877,9.347339,8.98293,8.722694,8.336338,7.939139,7.5838737,7.1206045,6.695142,6.203169,5.7361865,5.237594,4.7375183,4.2270885,3.6870089,3.1466486,2.5936131,2.0510805,1.4644803,0.8682215,0.335235
3,0.38169652,0.023119899,4.3682566,0.8292217,0.8046532,0.42577443,3.0695233,9.306089,9.503856,9.699297,9.878053,10.075742,10.26926,10.457343,10.658037,10.829105,11.006744,11.175103,11.327938,11.482203,11.607978,11.715206,11.799121,11.847365,11.850088,11.803651,11.733707,11.615365,11.50034,11.308288,11.070837,10.768033,10.4808655,10.131339,9.750359,9.334595,8.89413,8.40977,7.950171,7.400755,6.8985367,6.3293705,5.763796,5.1905966,4.6188073,4.010365,3.3989403
4,0.2016735,0.021311745,4.9319763,1.0707315,0.7999004,0.8868615,2.6292543,9.650824,9.88888,10.142846,10.411685,10.637885,10.876212,11.121124,11.357941,11.577022,11.791612,11.98235,12.161364,12.30925,12.421806,12.525333,12.523972,12.492727,12.420113,12.291667,12.176949,12.012417,11.76128,11.515295,11.2021,10.861648,10.5145,10.127436,9.715815,9.275393,8.839852,8.340364,7.859331,7.3430667,6.845646,6.3206334,5.767626,5.2382383,4.6858377,4.08452,3.5590806
5,0.07464982,0.019875197,2.8194902,0.75271523,0.6753977,0.36100778,2.082698,10.47079,10.621278,10.796063,10.950179,11.0856285,11.233782,11.364103,11.473773,11.548959,11.604587,11.631311,11.629869,11.559306,11.434179,11.265967,10.965405,10.5738735,10.183077,9.921935,9.692582,9.082228,8.6633,8.230565,7.7465115,7.1803803,6.6629777,6.136716,5.5617666,4.985418,4.38731,3.7710986,3.1238678,2.5321867,1.9389231,1.254246,0.6177077,-0.011134148,-0.6734052,-1.3098764,-2.012972
6,0.193446,0.022318281,2.8391867,0.74182975,0.80005,0.42057133,2.9578369,9.155612,9.322046,9.490898,9.67196,9.828996,9.995846,10.152101,10.306678,10.443423,10.570571,10.684504,10.781784,10.852587,10.894118,10.893217,10.850647,10.743144,10.581847,10.3750925,10.186912,9.960791,9.619411,9.315034,8.9257145,8.521909,8.09195,7.6107426,7.1376705,6.621216,6.0961266,5.5403223,4.983686,4.4012346,3.7904954,3.1997414,2.561344,1.9277765,1.288156,0.6467074,0.009750247
7,0.10580861,0.022227133,2.607326,1.209761,0.7906358,0.3995483,2.3841183,7.5588374,7.8483973,8.122617,8.396568,8.656843,8.917929,9.172054,9.397487,9.62067,9.811533,9.9777565,10.119873,10.2185755,10.26723,10.269364,10.176718,9.984417,9.791529,9.602421,9.496528,9.198626,8.838245,8.61162,8.208128,7.8452644,7.4634047,7.047985,6.601591,6.1648912,5.680424,5.1899147,4.700219,4.2088194,3.7041335,3.174291,2.6539278,2.1121855,1.5497116,1.0215776,0.48935914
8,0.14669953,0.023070399,3.8792446,0.8028003,0.7887452,0.65150326,2.5479224,10.270128,10.450088,10.639801,10.832845,10.989673,11.174522,11.3331585,11.496288,11.637999,11.760467,11.867296,11.944918,11.991594,12.000116,11.971788,11.848839,11.674026,11.45073,11.210404,10.991583,10.715043,10.296491,9.986881,9.537312,9.120023,8.661061,8.169016,7.678718,7.1506047,6.6188703,6.038373,5.48731,4.8956456,4.291682,3.6985767,3.0580487,2.4474125,1.8223958,1.1707709,0.55468655
9,0.358866,0.024844728,3.893283,1.1191858,0.70281917,0.13872708,2.528441,7.707941,7.970916,8.240671,8.481463,8.747749,9.012198,9.265987,9.531789,9.768799,10.010894,10.247643,10.472214,10.672744,10.868208,11.053737,11.2034445,11.27748,11.352504,11.376176,11.376957,11.308208,11.237476,11.108359,10.935487,10.723313,10.48802,10.1989565,9.861765,9.528207,9.116106,8.7113905,8.271616,7.819234,7.37407,6.878353,6.422761,5.861889,5.355974,4.8262687,4.3144646
